n,w,percent absorbed/blocked,ab
47,0.000047,100,0
48,0.000048,100,0
49,0.000049,100,0
50,0.00005,100,0
51,0.000051,100,0
52,0.000052,100,0
53,0.000053,100,0
54,0.000054,100,0
55,0.000055,100,0
56,0.000056,100,0
57,0.000057,100,0
58,0.000058,100,0
59,0.000059,100,0
60,0.00006,100,0
61,0.000061,100,0
62,0.000062,100,0
63,0.000063,100,0
64,0.000064,100,0
65,0.000065,100,0
66,0.000066,100,0
67,0.000067,100,0
68,0.000068,100,0
69,0.000069,100,0
70,0.00007,100,0
